name,family,outcome,proposal_call_seconds,check_seconds,certificate_bytes
reduce-random-5,unit_reduction,reduction,0.0008898710000266874,0.0006361779999224382,586
reduce-random-6,unit_reduction,reduction,0.002037339000025895,0.0016625439998279035,1004
reduce-random-7,unit_reduction,reduction,7.415200002469646e-05,7.187799997154798e-05,213
reduce-random-8,unit_reduction,reduction,0.0002127699999618926,0.00017706700009512133,323
reduce-random-9,unit_reduction,reduction,0.0017584290001195768,0.0006463229999553732,483
reduce-random-10,unit_reduction,reduction,0.0006784009999591945,0.00020056299990756088,254
reduce-random-11,unit_reduction,reduction,0.0019422549999035255,0.0020604740000180755,1182
reduce-random-12,unit_reduction,reduction,0.0003321000001506036,0.00012800299987247854,254
reduce-random-13,unit_reduction,reduction,0.0008049630000641628,0.000863289999870176,720
reduce-random-14,unit_reduction,reduction,0.00023399300016535562,0.00017758699982550752,318
reduce-random-15,unit_reduction,reduction,0.0013364229998842347,0.001224134000040067,863
reduce-random-16,unit_reduction,reduction,0.0004534229999535455,0.000406452000106583,480
reduce-random-17,unit_reduction,reduction,0.00021665600002052088,0.00017694600001050276,322
reduce-random-18,unit_reduction,reduction,0.00018555900010142068,5.720699982703081e-05,189
reduce-random-19,unit_reduction,reduction,0.0007985029999417748,0.0008433800001057534,719
reduce-random-20,unit_reduction,reduction,0.0004818259999410657,0.0004299669999454636,491
reduce-random-21,unit_reduction,reduction,0.001431135000075301,0.001234279000073002,851
reduce-random-22,unit_reduction,reduction,0.000477149000062127,0.00048431899995193817,484
reduce-random-23,unit_reduction,reduction,0.0002164859999993496,0.0001785889999155188,321
reduce-one-step-cap,partial_reduction,reduction,2.399999630142702e-07,0.004580147999831752,2024
reduce-nonunit-stagnation,heuristic_boundary,reduction,2.399999630142702e-07,0.00017251999997824896,312
stagnation-rescued-by-homotopy,heuristic_boundary,homotopy,0.0019264009999915288,0.00015901000006124377,86
ext-p2-t-4,secondary_homotopy,homotopy,0.00039985200010050903,6.786299991290434e-05,61
ext-p2-t-3,secondary_homotopy,no_homotopy,0.00037540499988608644,7.688599998800782e-05,75
ext-p2-t-2,secondary_homotopy,homotopy,0.00037505499994949787,6.413700020857505e-05,61
ext-p2-t-1,secondary_homotopy,no_homotopy,0.00037042700000711193,7.030599999779952e-05,75
ext-p2-t0,secondary_homotopy,homotopy,0.00035509500003172434,6.05210000230727e-05,60
ext-p2-t1,secondary_homotopy,no_homotopy,0.00038203500002964574,9.505299999545969e-05,75
ext-p2-t2,secondary_homotopy,homotopy,0.0003800720000981528,6.482799994955712e-05,60
ext-p2-t3,secondary_homotopy,no_homotopy,0.0003360959999554325,6.614000017179933e-05,75
ext-p2-t4,secondary_homotopy,homotopy,0.0003759560001981299,6.355599998641992e-05,60
ext-p3-t-6,secondary_homotopy,homotopy,0.00035171000013178855,6.355599998641992e-05,61
ext-p3-t-5,secondary_homotopy,no_homotopy,0.00037301200018191594,6.715099993925833e-05,75
ext-p3-t-4,secondary_homotopy,no_homotopy,0.0003385699999398639,6.713099992339266e-05,75
ext-p3-t-3,secondary_homotopy,homotopy,0.00035851000006914546,8.871399995769025e-05,61
ext-p3-t-2,secondary_homotopy,no_homotopy,0.00033992199996646377,6.672000017715618e-05,75
ext-p3-t-1,secondary_homotopy,no_homotopy,0.0003452000000834232,6.490800001301977e-05,75
ext-p3-t0,secondary_homotopy,homotopy,0.0003721499999755906,6.30050001291238e-05,60
ext-p3-t1,secondary_homotopy,no_homotopy,0.0003395710000404506,6.6110000034314e-05,75
ext-p3-t2,secondary_homotopy,no_homotopy,0.00042187499980173016,7.062700001370104e-05,75
ext-p3-t3,secondary_homotopy,homotopy,0.0003618150001329923,8.634999994683312e-05,60
ext-p3-t4,secondary_homotopy,no_homotopy,0.00037156999997023377,6.678999989162548e-05,75
ext-p3-t5,secondary_homotopy,no_homotopy,0.0003652000000329281,6.647000009252224e-05,75
ext-p3-t6,secondary_homotopy,homotopy,0.0003442780000568746,6.132299995442736e-05,60
ext-p4-t-8,secondary_homotopy,homotopy,0.00039026700005706516,6.460800000240852e-05,61
ext-p4-t-7,secondary_homotopy,no_homotopy,0.00033566599995538127,6.743199992342852e-05,75
ext-p4-t-6,secondary_homotopy,no_homotopy,0.00033798899994508247,6.858300002932083e-05,75
ext-p4-t-5,secondary_homotopy,no_homotopy,0.00033263099999203405,6.464800003413984e-05,75
ext-p4-t-4,secondary_homotopy,homotopy,0.0005417060001491336,6.850299996585818e-05,61
ext-p4-t-3,secondary_homotopy,no_homotopy,0.00038993799989839317,7.575400013593026e-05,75
ext-p4-t-2,secondary_homotopy,no_homotopy,0.0003436179999880551,6.683000015073048e-05,75
ext-p4-t-1,secondary_homotopy,no_homotopy,0.00033954100013033894,6.551899991791288e-05,75
ext-p4-t0,secondary_homotopy,homotopy,0.0004221760000291397,6.614999983867165e-05,60
ext-p4-t1,secondary_homotopy,no_homotopy,0.00034461900008864177,6.973499989726406e-05,75
ext-p4-t2,secondary_homotopy,no_homotopy,0.0003717600000072707,9.314999988419004e-05,75
ext-p4-t3,secondary_homotopy,no_homotopy,0.0003474830000413931,8.873399997355591e-05,75
ext-p4-t4,secondary_homotopy,homotopy,0.00035317199990458903,6.230400003914838e-05,60
ext-p4-t5,secondary_homotopy,no_homotopy,0.0003555650000635069,6.995599983383727e-05,75
ext-p4-t6,secondary_homotopy,no_homotopy,0.00033257099994443706,6.539800006066798e-05,75
ext-p4-t7,secondary_homotopy,no_homotopy,0.0003603530001328181,6.626000003961963e-05,75
ext-p4-t8,secondary_homotopy,homotopy,0.00034708199996202893,6.243500001801294e-05,60
ext-p5-t-10,secondary_homotopy,homotopy,0.00037369199981185375,9.820800005400088e-05,61
ext-p5-t-9,secondary_homotopy,no_homotopy,0.0003460310001628386,6.861399992885708e-05,75
ext-p5-t-8,secondary_homotopy,no_homotopy,0.00034181499995611375,6.798200001867372e-05,75
ext-p5-t-7,secondary_homotopy,no_homotopy,0.0003602629999477358,6.761200006621948e-05,75
ext-p5-t-6,secondary_homotopy,no_homotopy,0.0003351450000081968,6.68810000661324e-05,75
ext-p5-t-5,secondary_homotopy,homotopy,0.00037577600005533895,6.597900005544943e-05,61
ext-p5-t-4,secondary_homotopy,no_homotopy,0.00032688199985386746,6.637000001319393e-05,75
ext-p5-t-3,secondary_homotopy,no_homotopy,0.00037461500005520065,7.062600002427644e-05,75
ext-p5-t-2,secondary_homotopy,no_homotopy,0.00036260599995330267,6.851300008747785e-05,75
ext-p5-t-1,secondary_homotopy,no_homotopy,0.0003336620000027324,6.503800000245974e-05,75
ext-p5-t0,secondary_homotopy,homotopy,0.0004545849999431084,6.50580000183254e-05,60
ext-p5-t1,secondary_homotopy,no_homotopy,0.0003511279999202088,6.7933000082121e-05,75
ext-p5-t2,secondary_homotopy,no_homotopy,0.00035238100008427864,6.51679999918997e-05,75
ext-p5-t3,secondary_homotopy,no_homotopy,0.0004232280000451283,0.00024310599997079407,75
ext-p5-t4,secondary_homotopy,no_homotopy,0.0004516010001225368,7.233899987113546e-05,75
ext-p5-t5,secondary_homotopy,homotopy,0.00038280599983409047,6.309500008683244e-05,60
ext-p5-t6,secondary_homotopy,no_homotopy,0.0003630870000961295,6.922399984432559e-05,75
ext-p5-t7,secondary_homotopy,no_homotopy,0.0004121910001231299,6.979499994486105e-05,75
ext-p5-t8,secondary_homotopy,no_homotopy,0.0004529420000380924,7.344099981310137e-05,75
ext-p5-t9,secondary_homotopy,no_homotopy,0.0003911300000254414,6.899300001350639e-05,75
ext-p5-t10,secondary_homotopy,homotopy,0.0003909689999090915,6.471799997598282e-05,60
ext-p6-t-12,secondary_homotopy,homotopy,0.0003594720001274254,6.578900001841248e-05,61
ext-p6-t-11,secondary_homotopy,no_homotopy,0.00036466000005930255,6.957400000828784e-05,75
ext-p6-t-10,secondary_homotopy,no_homotopy,0.00034557000003587746,6.783200001336809e-05,75
ext-p6-t-9,secondary_homotopy,no_homotopy,0.00034248599990860384,6.732099996042962e-05,75
ext-p6-t-8,secondary_homotopy,no_homotopy,0.00035857100010616705,7.078599992382806e-05,75
ext-p6-t-7,secondary_homotopy,no_homotopy,0.00037274100009199174,6.839299999228388e-05,75
ext-p6-t-6,secondary_homotopy,homotopy,0.00038092399995548476,6.342599999697995e-05,61
ext-p6-t-5,secondary_homotopy,no_homotopy,0.0003298870001344767,6.833299994468689e-05,75
ext-p6-t-4,secondary_homotopy,no_homotopy,0.0003563970001323469,6.59499999073887e-05,75
