family,id,status,search_ms,check_ms,certificate_bytes
cdclt_random,random_212,unsat,0.060926,0.018965,1302
cdclt_random,random_213,unsat,0.055637,0.011824,683
cdclt_random,random_214,sat,0.094728,0.00619,358
cdclt_random,random_215,sat,0.056939,0.005729,434
cdclt_random,random_216,unsat,0.04062,0.030338,998
cdclt_random,random_217,unsat,0.046401,0.010319,624
cdclt_random,random_218,unsat,0.034062,0.011907,908
cdclt_random,random_219,unsat,0.071821,0.018947,1357
cdclt_random,random_220,sat,0.055432,0.00554,328
cdclt_random,random_221,sat,0.379542,0.005453,369
cdclt_random,random_222,sat,0.037391,0.003837,311
cdclt_random,random_223,sat,0.027246,0.004342,286
cdclt_random,random_224,sat,0.10107,0.006559,385
cdclt_random,random_225,unsat,0.043925,0.020164,1204
cdclt_random,random_226,sat,0.065946,0.004495,339
cdclt_random,random_227,sat,0.057871,0.004045,345
cdclt_random,random_228,unsat,0.088986,0.019949,1027
cdclt_random,random_229,unsat,0.044928,0.01158,809
cdclt_random,random_230,unsat,0.064568,0.012939,906
cdclt_random,random_231,unsat,0.049095,0.014612,1036
cdclt_random,random_232,sat,0.027319,0.004679,287
cdclt_random,random_233,unsat,0.068505,0.017443,1047
cdclt_random,random_234,unsat,0.037795,0.013229,977
cdclt_random,random_235,sat,0.040195,0.004158,307
cdclt_random,random_236,sat,0.173668,0.005421,373
cdclt_random,random_237,unsat,0.053639,0.017843,1102
cdclt_random,random_238,unsat,0.034744,0.014677,1037
cdclt_random,random_239,unsat,0.03643,0.013223,1029
cdclt_random,random_240,sat,0.031934,0.005381,329
cdclt_random,random_241,unsat,0.037948,0.012879,713
cdclt_random,random_242,unsat,0.041995,0.030898,910
cdclt_random,random_243,sat,0.058416,0.004813,368
cdclt_random,random_244,unsat,0.029081,0.028152,857
cdclt_random,random_245,unsat,0.086237,0.016266,1001
cdclt_random,random_246,unsat,0.051134,0.014591,1042
cdclt_random,random_247,unsat,0.053366,0.009824,649
cdclt_random,random_248,sat,0.029891,0.005165,323
cdclt_random,random_249,unsat,0.104403,0.018735,1218
cdclt_random,random_250,sat,0.016883,0.003262,253
cdclt_random,random_251,unsat,0.310267,0.012689,815
cdclt_random,random_252,unsat,0.061198,0.013417,977
cdclt_random,random_253,unsat,0.033654,0.01478,1115
cdclt_random,random_254,sat,0.021455,0.004088,280
cdclt_random,random_255,unsat,0.183443,0.013327,633
cdclt_random,random_256,unsat,0.117568,0.014389,941
cdclt_random,random_257,unsat,0.057283,0.015909,1143
cdclt_random,random_258,sat,0.114065,0.00502,372
cdclt_random,random_259,unsat,0.039791,0.01526,1025
cdclt_random,random_260,sat,0.044517,0.003812,283
cdclt_random,random_261,unsat,0.039995,0.008502,563
cdclt_random,random_262,unsat,0.049052,0.014673,1167
cdclt_random,random_263,unsat,0.039092,0.007375,596
cdclt_random,random_264,unsat,0.046187,0.011593,820
cdclt_random,random_265,sat,0.069905,0.004987,308
cdclt_random,random_266,unsat,0.034794,0.010922,636
cdclt_random,random_267,unsat,0.0815,0.015638,826
cdclt_random,random_268,sat,0.036213,0.004651,320
cdclt_random,random_269,unsat,0.060164,0.019989,962
cdclt_random,random_270,unsat,0.039664,0.011404,686
cdclt_random,random_271,unsat,0.062495,0.01456,1049
cdclt_random,random_272,sat,0.059117,0.005618,330
cdclt_random,random_273,unsat,0.147983,0.019319,1223
cdclt_random,random_274,unsat,0.062432,0.012854,960
cdclt_random,random_275,sat,0.109975,0.008974,418
cdclt_random,random_276,sat,0.068431,0.005191,365
cdclt_random,random_277,sat,0.08605,0.006886,418
cdclt_random,random_278,unsat,0.204577,0.013066,885
cdclt_random,random_279,sat,0.030337,0.005286,280
cdclt_random,random_280,unsat,0.072708,0.012047,819
cdclt_random,random_281,unsat,0.046146,0.017395,915
cdclt_random,random_282,unsat,0.041667,0.013491,1010
cdclt_random,random_283,sat,0.068686,0.005817,391
cdclt_random,random_284,sat,0.35019,0.007598,366
cdclt_random,random_285,unsat,0.079479,0.014663,926
cdclt_random,random_286,sat,0.040814,0.005741,336
cdclt_random,random_287,unsat,0.025999,0.00984,654
cdclt_random,random_288,sat,0.083609,0.005622,340
cdclt_random,random_289,unsat,0.03781,0.016381,1004
cdclt_random,random_290,unsat,0.050408,0.008886,625
cdclt_random,random_291,unsat,0.089825,0.01679,1226
cdclt_random,random_292,sat,0.018125,0.003894,251
cdclt_random,random_293,sat,0.037726,0.00438,349
cdclt_random,random_294,sat,0.07125,0.005218,364
cdclt_random,random_295,unsat,0.045432,0.013664,912
cdclt_random,random_296,unsat,0.079797,0.019737,1232
cdclt_random,random_297,unsat,0.067076,0.011987,789
cdclt_random,random_298,unsat,0.067263,0.011679,669
cdclt_random,random_299,unsat,0.040811,0.013874,730
pigeonhole,2_into_1,unsat,0.221651,0.010233,497
pigeonhole,3_into_2,unsat,0.154892,0.024613,1499
pigeonhole,4_into_3,unsat,1.28066,0.106254,5360
pigeonhole,5_into_4,unsat,10.506821,0.553747,18141
pigeonhole,6_into_5,unsat,94.334985,1.595165,59592
witness,a-3_b0_m1,proved,0.015199,0.006847,58
witness,a-3_b1_m1,proved,0.037414,0.003854,58
witness,a-3_b2_m1,proved,0.003149,0.001991,58
witness,a-3_b3_m1,proved,0.002027,0.001144,58
witness,a-3_b4_m1,proved,0.001658,0.000956,58
witness,a-3_b5_m1,proved,0.001254,0.000862,58
witness,a-2_b0_m1,proved,0.001342,0.000794,58
witness,a-2_b1_m1,proved,0.002261,0.00105,58
witness,a-2_b2_m1,proved,0.001092,0.000707,58
witness,a-2_b3_m1,proved,0.001206,0.000706,58
witness,a-2_b4_m1,proved,0.001042,0.000686,58
witness,a-2_b5_m1,proved,0.001137,0.000944,58
witness,a-1_b0_m1,proved,0.001091,0.000762,58
witness,a-1_b1_m1,proved,0.001231,0.000737,58
witness,a-1_b2_m1,proved,0.002015,0.00106,58
witness,a-1_b3_m1,proved,0.001335,0.000694,58
witness,a-1_b4_m1,proved,0.020942,0.001446,58
witness,a-1_b5_m1,proved,0.002381,0.000969,58
witness,a0_b0_m1,proved,0.001288,0.000683,57
witness,a0_b1_m1,proved,0.001017,0.000646,57
witness,a0_b2_m1,proved,0.001674,0.000895,57
witness,a0_b3_m1,proved,0.001493,0.000689,57
witness,a0_b4_m1,proved,0.000982,0.000611,57
witness,a0_b5_m1,proved,0.00102,0.000674,57
witness,a1_b0_m1,proved,0.000995,0.000716,57
witness,a1_b1_m1,proved,0.001063,0.000628,57
witness,a1_b2_m1,proved,0.001761,0.000714,57
witness,a1_b3_m1,proved,0.001,0.000655,57
witness,a1_b4_m1,proved,0.00099,0.000737,57
witness,a1_b5_m1,proved,0.001189,0.00068,57
witness,a2_b0_m1,proved,0.001612,0.001001,57
witness,a2_b1_m1,proved,0.001067,0.000659,57
witness,a2_b2_m1,proved,0.001008,0.000812,57
witness,a2_b3_m1,proved,0.001178,0.000601,57
witness,a2_b4_m1,proved,0.000938,0.000651,57
witness,a2_b5_m1,proved,0.001051,0.000754,57
witness,a3_b0_m1,proved,0.001257,0.000698,57
witness,a3_b1_m1,proved,0.000959,0.000691,57
witness,a3_b2_m1,proved,0.000926,0.00069,57
witness,a3_b3_m1,proved,0.00104,0.000648,57
witness,a3_b4_m1,proved,0.001225,0.000659,57
witness,a3_b5_m1,proved,0.00101,0.000687,57
witness,a4_b0_m1,proved,0.001242,0.000686,57
witness,a4_b1_m1,proved,0.001322,0.000663,57
witness,a4_b2_m1,proved,0.001006,0.000645,57
witness,a4_b3_m1,proved,0.001127,0.000697,57
witness,a4_b4_m1,proved,0.001795,0.000936,57
witness,a4_b5_m1,proved,0.001084,0.000797,57
witness,a5_b0_m1,proved,0.001728,0.00116,57
witness,a5_b1_m1,proved,0.001449,0.000738,57
witness,a5_b2_m1,proved,0.00098,0.000622,57
witness,a5_b3_m1,proved,0.001019,0.000636,57
witness,a5_b4_m1,proved,0.001797,0.001131,57
witness,a5_b5_m1,proved,0.001329,0.000909,57
witness,a-3_b0_m2,proved,0.002208,0.001066,61
witness,a-3_b1_m2,proved,0.001808,0.00093,61
witness,a-3_b2_m2,proved,0.001566,0.000868,61
witness,a-3_b3_m2,proved,0.002043,0.000967,61
witness,a-3_b4_m2,proved,0.001922,0.00108,61
witness,a-3_b5_m2,proved,0.001421,0.000832,61
witness,a-2_b0_m2,proved,0.00155,0.001128,61
witness,a-2_b1_m2,impossible,0.000825,0,0
witness,a-2_b2_m2,proved,0.001464,0.001001,61
witness,a-2_b3_m2,impossible,0.000906,0,0
witness,a-2_b4_m2,proved,0.00156,0.000961,61
witness,a-2_b5_m2,impossible,0.000746,0,0
witness,a-1_b0_m2,proved,0.001969,0.000877,61
witness,a-1_b1_m2,proved,0.001645,0.000918,61
witness,a-1_b2_m2,proved,0.001423,0.000813,61
witness,a-1_b3_m2,proved,0.001466,0.000762,61
witness,a-1_b4_m2,proved,0.001516,0.000896,61
witness,a-1_b5_m2,proved,0.001416,0.000826,61
witness,a0_b0_m2,proved,0.00128,0.00081,60
witness,a0_b1_m2,impossible,0.000571,0,0
witness,a0_b2_m2,proved,0.001223,0.000838,60
witness,a0_b3_m2,impossible,0.000696,0,0
witness,a0_b4_m2,proved,0.001273,0.000746,60
witness,a0_b5_m2,impossible,0.000605,0,0
witness,a1_b0_m2,proved,0.001654,0.001072,60
witness,a1_b1_m2,proved,0.001446,0.000891,60
witness,a1_b2_m2,proved,0.001696,0.000878,60
witness,a1_b3_m2,proved,0.001692,0.000858,60
witness,a1_b4_m2,proved,0.001759,0.000844,60
witness,a1_b5_m2,proved,0.001734,0.000811,60
witness,a2_b0_m2,proved,0.001941,0.000843,60
witness,a2_b1_m2,impossible,0.000625,0,0
witness,a2_b2_m2,proved,0.001261,0.00078,60
witness,a2_b3_m2,impossible,0.001339,0,0
witness,a2_b4_m2,proved,0.001607,0.001253,60
witness,a2_b5_m2,impossible,0.000708,0,0
witness,a3_b0_m2,proved,0.001453,0.000878,60
witness,a3_b1_m2,proved,0.001467,0.000946,60
witness,a3_b2_m2,proved,0.00156,0.000874,60
witness,a3_b3_m2,proved,0.002239,0.001131,60
witness,a3_b4_m2,proved,0.001838,0.000819,60
witness,a3_b5_m2,proved,0.001772,0.001064,60
witness,a4_b0_m2,proved,0.001443,0.000888,60
witness,a4_b1_m2,impossible,0.000922,0,0
witness,a4_b2_m2,proved,0.001342,0.000847,60
witness,a4_b3_m2,impossible,0.000578,0,0
witness,a4_b4_m2,proved,0.00135,0.000844,60
witness,a4_b5_m2,impossible,0.000704,0,0
witness,a5_b0_m2,proved,0.001541,0.000843,60
witness,a5_b1_m2,proved,0.001387,0.000855,60
witness,a5_b2_m2,proved,0.001472,0.000788,60
witness,a5_b3_m2,proved,0.001431,0.000883,60
witness,a5_b4_m2,proved,0.001454,0.000741,60
witness,a5_b5_m2,proved,0.002824,0.001334,60
