case,family,mode,expected,status,accepted,reason,check_seconds,kind,arithmetic_operations,basis_dimensions,elapsed_seconds,generators,grid_evaluations,groebner_calls,max_generated_degree,membership_queries,pullbacks,process_seconds,value,length
affine_equivalence_10,affine equivalence,ideal,proved,proved,True,,0.0008373649999384725,closure-certificate,111,[2],0.01788262900004156,2,0,2,1,10,4,2.100760171000047,,
affine_equivalence_11,affine equivalence,linear,proved,proved,True,,0.0008097329999827707,closure-certificate,223,[3],0.055726171000060276,3,0,0,1,14,6,1.4676831200000606,,
affine_equivalence_11,affine equivalence,ideal,proved,proved,True,,0.001383182000040506,closure-certificate,223,[3],0.1151486040000691,3,0,3,1,14,6,2.6344159480000826,,
control_locations_00,control flow,linear,proved,proved,True,,0.0004136590000598517,closure-certificate,53,"[1, 1]",0.010867851000057271,2,0,0,1,6,2,1.464256100000057,,
control_locations_00,control flow,ideal,proved,proved,True,,0.0003625229999215662,closure-certificate,53,"[1, 1]",0.006910641999979816,2,0,2,1,6,2,1.3883206650000375,,
control_locations_01,control flow,linear,proved,proved,True,,0.00038313400000333786,closure-certificate,53,"[1, 1]",0.011210053000013431,2,0,0,1,6,2,1.4181862849999334,,
control_locations_01,control flow,ideal,proved,proved,True,,0.0003976360000024215,closure-certificate,53,"[1, 1]",0.00640795899994373,2,0,2,1,6,2,1.65850860799992,,
control_locations_02,control flow,linear,proved,proved,True,,0.0005580559999316392,closure-certificate,53,"[1, 1]",0.025172170000018923,2,0,0,1,6,2,1.3847770710000304,,
control_locations_02,control flow,ideal,proved,proved,True,,0.0005329790000132562,closure-certificate,53,"[1, 1]",0.034877689000040846,2,0,2,1,6,2,1.8491691770000216,,
control_locations_03,control flow,linear,proved,proved,True,,0.00044706999995014485,closure-certificate,53,"[1, 1]",0.011317624000071191,2,0,0,1,6,2,1.3431322850000242,,
control_locations_03,control flow,ideal,proved,proved,True,,0.00031258800004252407,closure-certificate,53,"[1, 1]",0.015634381000040776,2,0,2,1,6,2,1.9535212779999256,,
sampling_trap,boundary controls,linear,refuted,refuted,True,,8.208300005208002e-05,counterexample,14,,0.033918491000008544,2,4,0,1,3,1,1.2712807569999995,"['6', '1']",1
sampling_trap,boundary controls,ideal,refuted,refuted,True,,0.00013046599997323938,counterexample,14,,0.007852734000039163,2,4,1,1,3,1,1.3560244830000556,"['6', '1']",1
initial_parameter_trap,boundary controls,linear,refuted,refuted,True,,0.0001308560000552461,counterexample,8,,0.0054216920000271784,1,4,0,3,1,0,1.6623941679999916,"['6', '1']",0
initial_parameter_trap,boundary controls,ideal,refuted,refuted,True,,0.0001409919999559861,counterexample,8,,0.005093581000096492,1,4,0,3,1,0,1.2111229009999533,"['6', '1']",0
